Name	URL	Org	What It Does	Type	Category	Subcategory	License	Stars	Last Updated	Needs GPU	Runs On 4GB Server	Free	Already On SpaceBot	Lego Flags	Notes
Qwen2.5-Omni	https://github.com/QwenLM/Qwen2.5-Omni	QwenLM	End-to-end multimodal model for text image audio and video with streaming text and speech responses.	Model	Vision & Multimodal	Omni-Modal Model	Apache-2.0	4k	2025-06-12	Yes	No	Yes	No	Qwen3-Omni;Qwen2-Audio;Qwen3-TTS;DashScope API	Previous omni generation; docs mention deployment with vLLM and MNN.
Qwen-Image	https://github.com/QwenLM/Qwen-Image	QwenLM	Official image generation foundation model with strong text rendering and image editing.	Model	Image & Video Generation	Text-to-Image / Editing	Apache-2.0	7.8k	2026-02-10	Yes	No	Yes	No	Qwen-Image-Layered;ms-swift;DashScope API;DiffSynth-Studio	Core Qwen image-generation repo.
Qwen-Image-Layered	https://github.com/QwenLM/Qwen-Image-Layered	QwenLM	Layered decomposition system for editable image generation and manipulation.	Model	Image & Video Generation	Image Editing / Layered Decomposition	Apache-2.0	1.8k	2025-12-31	Yes	No	Yes	No	Qwen-Image;DiffSynth-Studio;ms-swift	Specialized image-editing companion to Qwen-Image.
Qwen3-VL-Embedding	https://github.com/QwenLM/Qwen3-VL-Embedding	QwenLM	Official multimodal embedding model family for text image and video representation.	Model	Vision & Multimodal	Multimodal Embeddings	Apache-2.0	1.2k	2026-04-08	Yes	No	Yes	No	Qwen3-VL;qwen3-vl-embedding;qwen3-rerank;AgentScope RAG	Repo stars and metadata from org page.
Qwen3-TTS	https://github.com/QwenLM/Qwen3-TTS	QwenLM	Official open-source text-to-speech models supporting expressive streaming generation voice design and cloning.	Model	Speech & Audio (TTS, ASR, voice)	Text-to-Speech	Apache-2.0	11k	2026-03-17	Yes	No	Yes	No	Qwen3-ASR;Qwen3-Omni;Qwen2-Audio;DashScope API	Strong fit for voice agents and multimodal chat.
Qwen3-ASR	https://github.com/QwenLM/Qwen3-ASR	QwenLM	Official open-source speech recognition models for multilingual speech music and song transcription.	Model	Speech & Audio (TTS, ASR, voice)	Speech Recognition	Apache-2.0	2.4k	2026-01-30	Yes	No	Yes	No	Qwen3-TTS;Qwen3-ASR-Toolkit;Qwen3-Omni;DashScope API	Complements TTS and omni lines.
Qwen3-ASR-Toolkit	https://github.com/QwenLM/Qwen3-ASR-Toolkit	QwenLM	Official Python toolkit for high-throughput Qwen3-ASR API usage and long-audio transcription.	SDK	Speech & Audio (TTS, ASR, voice)	ASR SDK / Client	MIT	935	2026-02-05	No	Yes	Yes	No	Qwen3-ASR;DashScope API;AgentScope Runtime	Useful if you want hosted ASR without self-hosting models.
Qwen2-Audio	https://github.com/QwenLM/Qwen2-Audio	QwenLM	Official repository for Qwen's large audio language model family.	Model	Speech & Audio (TTS, ASR, voice)	Audio Language Model	Apache-2.0	2.1k	2025-04-21	Yes	No	Yes	No	Qwen3-ASR;Qwen3-TTS;Qwen2.5-Omni;Fun-Audio-Chat	Audio-language predecessor to newer multimodal audio work.
qwen3-livetranslate-flash-realtime	https://www.alibabacloud.com/help/en/model-studio/qwen3-livetranslate-flash-realtime	DashScope API	Real-time audio and video translation model using both speech and visual context.	API	Speech & Audio (TTS, ASR, voice)	Realtime Translation	Proprietary API	-	2026-03-26	API-only	API-only	Paid	No	DashScope API;Qwen3-ASR;Qwen3-TTS;Qwen3-Omni	Official Alibaba Cloud Model Studio doc states 18 languages plus dialect support.
CosyVoice	https://github.com/FunAudioLLM/CosyVoice	FunAudioLLM	Multilingual voice generation model with inference training and deployment support.	Framework	Speech & Audio (TTS, ASR, voice)	Text-to-Speech	unknown	20.6k	2026-04-19	Yes	No	Yes	No	FunAudioLLM Hugging Face;ModelScope;Fun-ASR;Fun-Audio-Chat	Hugging Face and PyPI pages show multiple released checkpoints and deployment examples.
SenseVoice	https://github.com/FunAudioLLM/SenseVoice	FunAudioLLM	Multilingual voice understanding model for speech recognition and audio understanding tasks.	Model	Speech & Audio (TTS, ASR, voice)	Voice Understanding	Other	8k	2025-12-30	Yes	No	Yes	No	Fun-ASR;Fun-Audio-Chat;ModelScope;DashScope-adjacent speech stacks	License displayed as Other on GitHub org page.
Fun-ASR	https://github.com/FunAudioLLM/Fun-ASR	FunAudioLLM	End-to-end speech recognition large model and toolkit from Tongyi Lab.	Framework	Speech & Audio (TTS, ASR, voice)	Speech Recognition	MIT	1k	2026-02-25	No	Yes	Yes	No	FunASR PyPI;SenseVoice;CosyVoice;ModelScope;3D-Speaker	GitHub repo and PyPI both emphasize CPU-capable deployment paths.
Fun-Audio-Chat	https://github.com/FunAudioLLM/Fun-Audio-Chat	FunAudioLLM	Large audio language model for natural low-latency voice interactions.	Model	Speech & Audio (TTS, ASR, voice)	Audio Chat / Speech-to-Speech	Apache-2.0	930	2026-01-??	Yes	No	Yes	No	CosyVoice;SenseVoice;Fun-ASR;Qwen2-Audio;FunAudioLLM HF models	HF card gives detailed model description and Apache-2.0 license.
ThinkSound	https://github.com/FunAudioLLM/ThinkSound	FunAudioLLM	Unified framework for generating audio from any modality using chain-of-thought guidance.	Model	Speech & Audio (TTS, ASR, voice)	Audio Generation	unknown	1.3k	2026-04-03	Yes	No	Yes	No	FunMusic;PrismAudio;Image/Video generation stacks	Strong multimodal audio-generation Lego piece.
Qwen-Agent	https://github.com/QwenLM/Qwen-Agent	QwenLM	Agent framework and example applications built on Qwen with function calling MCP code interpreter and RAG.	Framework	Agent Frameworks & Orchestration	Agent Framework	Apache-2.0	16k	2026-03-04	No	Yes	Yes	Yes	Qwen3;Qwen3-Coder;Qwen3-VL;Qwen3-Omni;DashScope API;SpaceBot tool service	Directly used by SpaceBot tool-service code.
qwen-code	https://github.com/QwenLM/qwen-code	QwenLM	Open-source AI coding agent that runs in the terminal.	Agent	Code & Development Tools	Coding Agent / CLI	Apache-2.0	24k	2026-04-19	No	Yes	Yes	No	Qwen3-Coder;Qwen OAuth;qwen-code npm;qwen-code-action	Also distributed on npm as @qwen-code/qwen-code.
AgentScope	https://github.com/agentscope-ai/agentscope	agentscope-ai	Production-ready framework for building and running transparent multi-agent applications.	Framework	Agent Frameworks & Orchestration	Multi-Agent Framework	Apache-2.0	24k	2026-04-16	No	Yes	Yes	Yes	AgentScope Runtime;AgentScope Studio;ReMe;OpenJudge;Trinity-RFT;QwenPaw;HiClaw	Confirmed by docs and PyPI package.
AgentScope Runtime	https://github.com/agentscope-ai/agentscope-runtime	agentscope-ai	Production runtime for agent apps with sandboxing deployment and agent-as-a-service APIs.	Framework	Infrastructure & Deployment	Runtime / Sandboxing	Apache-2.0	739	2026-04-17	No	Yes	Yes	No	AgentScope;AgentScope Studio;QwenPaw;DashScope API;MCP	Runtime package exists on PyPI as agentscope-runtime.
AgentScope Studio	https://doc.agentscope.io/tutorial/task_studio.html	agentscope-ai	Local web app for project management tracing visualization and Friday copilot around AgentScope apps.	Tool	UI & Studio Tools	Visualization / Dev Studio	Apache-2.0	514	2026-03-06	No	Yes	Yes	No	AgentScope;AgentScope Runtime;OpenJudge;Friday agent	Docs page states npm install @agentscope/studio and local deployment.
ReMe	https://github.com/agentscope-ai/ReMe	agentscope-ai	Memory management kit for agents focused on long-term memory retrieval and refinement.	Framework	Memory & Knowledge	Long-Term Memory	Apache-2.0	2.8k	2026-04-17	No	Yes	Yes	Yes	AgentScope;QwenPaw;DeepResearch;SpaceBot reme-mcp;text-embedding-v4	SpaceBot docs confirm a live reme-mcp service.
HiClaw	https://github.com/agentscope-ai/HiClaw	agentscope-ai	Collaborative multi-agent operating system built around transparent human-in-the-loop coordination via Matrix rooms.	Framework	Agent Frameworks & Orchestration	Collaborative Multi-Agent OS	Apache-2.0	4.2k	2026-04-19	No	Yes	Yes	No	AgentScope;ReMe;QwenPaw;skills	Strong orchestration Lego piece for multi-agent teamwork.
QwenPaw	https://github.com/agentscope-ai/QwenPaw	agentscope-ai	Personal AI assistant that supports multiple chat apps and extensible skills.	Agent	Agent Frameworks & Orchestration	Personal Assistant Agent	Apache-2.0	16k	2026-04-17	No	Yes	Yes	No	AgentScope;AgentScope Runtime;ReMe;skills;DashScope API	High-visibility product-style agent app.
text-embedding-v4	https://www.alibabacloud.com/help/en/model-studio/models	DashScope API	Hosted multilingual embedding model family in Model Studio.	Model	Memory & Knowledge	Text Embeddings	Proprietary API	-	2026-04-01	API-only	API-only	Freemium	No	DashScope API;ReMe;AgentScope RAG;qwen3-rerank	Docs say it is part of the Qwen3-Embedding series.
qwen3-embedding	https://github.com/QwenLM/Qwen3-Embedding	QwenLM	Open embedding model family for multilingual retrieval code retrieval and clustering tasks.	Model	Memory & Knowledge	Text Embeddings	unknown	1.9k	2025-09-30	Yes	No	Yes	No	text-embedding-v4;qwen3-rerank;Qwen3-VL-Embedding;ReMe	Stars and timestamp from org repo page; open repo has no license shown in snippet, so marked unknown.
qwen3-rerank	https://www.alibabacloud.com/help/en/model-studio/models	DashScope API	Hosted reranking model for semantic retrieval and relevance ordering.	Model	Memory & Knowledge	Reranking	Proprietary API	-	2026-04-01	API-only	API-only	Freemium	No	text-embedding-v4;qwen3-embedding;ReMe;AgentScope RAG	Official Model Studio ranking section lists qwen3-rerank.
DeepResearch	https://github.com/Alibaba-NLP/DeepResearch	Alibaba-NLP	Open-source deep research agent from Tongyi Lab for long-horizon information-seeking tasks.	Agent	Research & Search	Deep Research Agent	Apache-2.0	18.7k	2026-04-??	No	Yes	Yes	No	Qwen models;ReMe;AgentScope;ZeroSearch;CHRONOS	Also appears on OpenRouter as Tongyi DeepResearch 30B A3B.
ZeroSearch	https://github.com/Alibaba-NLP/ZeroSearch	Alibaba-NLP	Research project for incentivizing search capability in LLMs without external search during training.	Tool	Research & Search	Search Training / Research	unknown	1.3k	2025-08-16	No	Yes	Yes	No	DeepResearch;MaskSearch;CHRONOS	Strong research Lego piece for agentic search training loops.
CHRONOS	https://github.com/Alibaba-NLP/CHRONOS	Alibaba-NLP	Iterative self-questioning system for news retrieval and timeline summarization.	Tool	Research & Search	Timeline Search / Summarization	unknown	299	2025-08-04	No	Yes	Yes	No	DeepResearch;MaskSearch;ZeroSearch	Useful subcomponent for research and knowledge workflows.
MaskSearch	https://github.com/Alibaba-NLP/MaskSearch	Alibaba-NLP	Pre-training framework to improve agentic search capability.	Tool	Research & Search	Search Pretraining	unknown	unknown	2025-??-??	No	Yes	Yes	No	DeepResearch;ZeroSearch;CHRONOS	Repo description in org listing directly frames it as search-pretraining.
E2Rank	https://github.com/Alibaba-NLP/E2Rank	Alibaba-NLP	Listwise reranker showing that text embeddings can function as effective rerankers.	Tool	Research & Search	Reranking	Apache-2.0	53	2026-04-16	No	Yes	Yes	No	qwen3-rerank;text-embedding-v4;ReMe	Hidden-gem candidate because of low stars and practical relevance.
Qwen3-Coder	https://github.com/QwenLM/Qwen3-Coder	QwenLM	Code-specialized model family in the Qwen3 series.	Model	Code & Development Tools	Code Generation / Agentic Coding	unknown	16k	2026-03-24	Yes	No	Yes	No	qwen-code;Qwen-Agent;qwen3-max;ms-swift	Primary open-weight coding model family behind multiple Qwen coding surfaces.
ms-swift	https://github.com/modelscope/ms-swift	modelscope	Training and fine-tuning toolkit covering hundreds of LLMs and multimodal models including Qwen families.	Framework	Training & Fine-tuning	LLM / MLLM Fine-tuning	Apache-2.0	13.8k	2026-04-19	Needs GPU	No	Yes	No	Qwen3;Qwen3-VL;Qwen3-Omni;Qwen-Image;ModelScope	One of the most strategically important ModelScope repos.
OpenJudge	https://github.com/agentscope-ai/OpenJudge	agentscope-ai	Unified framework for holistic evaluation and quality rewards.	Framework	Evaluation & Benchmarking	LLM / Agent Evaluation	Apache-2.0	560	2026-04-17	No	Yes	Yes	No	AgentScope;AgentScope Studio;Trinity-RFT;QwenPaw	Evaluation/reward component inside AgentScope ecosystem.
PolyMath	https://github.com/QwenLM/PolyMath	QwenLM	Evaluation code for multilingual mathematical reasoning benchmarks.	Dataset	Evaluation & Benchmarking	Math Benchmark	unknown	43	2025-05-22	No	Yes	Yes	No	Qwen2.5-Math;QwQ;ProcessBench	Low-star but strategically useful benchmark asset.
ProcessBench	https://github.com/QwenLM/ProcessBench	QwenLM	Benchmark for identifying process errors in mathematical reasoning.	Dataset	Evaluation & Benchmarking	Reasoning Benchmark	unknown	189	2025-05-20	No	Yes	Yes	No	Qwen2.5-Math;PolyMath;QwQ	Good Lego piece for evaluation and reward modeling.
CodeElo	https://github.com/QwenLM/CodeElo	QwenLM	Benchmarking framework for competition-level code generation using Elo-style ratings.	Dataset	Evaluation & Benchmarking	Code Benchmark	unknown	73	2025-02-03	No	Yes	Yes	No	Qwen3-Coder;qwen-code;OpenJudge	Useful for measuring coding agent progress.
Trinity-RFT	https://github.com/agentscope-ai/Trinity-RFT	agentscope-ai	Flexible reinforcement fine-tuning framework for large language models.	Framework	Training & Fine-tuning	Reinforcement Fine-Tuning	Apache-2.0	608	2026-04-09	Needs GPU	No	Yes	No	AgentScope;OpenJudge;Qwen models	AgentScope ecosystem training layer.
AgentJet	https://github.com/modelscope/AgentJet	modelscope	Platform for LLM agent tuning with RL and benchmarking.	Framework	Training & Fine-tuning	Agent Tuning / RL	Apache-2.0	192	2026-04-16	Needs GPU	No	Yes	No	ms-swift;AgentScope;DeepResearch	GitHub description emphasizes RL tuning and benchmarking.
DashScope API	https://pypi.org/project/dashscope/	Alibaba Cloud	Official Python SDK and API surface for hosted Qwen and related Alibaba AI models.	SDK	Infrastructure & Deployment	Hosted Model SDK / API	Apache-2.0	-	2026-04-07	API-only	API-only	Freemium	Yes	qwen3-max;qwen3.5-plus;qwen3.5-flash;Qwen-Agent;AgentScope;SpaceBot Dorylus	SpaceBot currently calls DashScope endpoints directly.
ModelScope	https://github.com/modelscope/modelscope	modelscope	Core MaaS library for discovering running training and evaluating models across domains.	Library	Infrastructure & Deployment	Model Hub / Unified SDK	Apache-2.0	8.9k	2026-04-19	No	Yes	Yes	No	ms-swift;DiffSynth-Studio;Fun-ASR;AdaSeq;ModelScope HF org	Also published on PyPI with active 2026 releases.
modelscope-mcp-server	https://github.com/modelscope/modelscope-mcp-server	modelscope	Official ModelScope MCP server in active development.	MCP Server	Infrastructure & Deployment	MCP Server	Apache-2.0	18	2025-12-15	No	Yes	Yes	No	ModelScope;AgentScope;qwen-code;DashScope-adjacent workflows	Hidden-gem candidate because it directly exposes official MCP capability.
Flash-LLM	https://github.com/AlibabaResearch/flash-llm	AlibabaResearch	Sparse inference engine for efficient large generative model serving.	Framework	Infrastructure & Deployment	Inference Engine	Apache-2.0	242	2023-09-24	Needs GPU	No	Yes	No	Qwen models;Agent frameworks via hosted inference	Inference/deployment Lego piece rather than an end-user product.
AdaSeq	https://github.com/modelscope/AdaSeq	modelscope	All-in-one library for sequence understanding and information extraction models.	Library	Data Processing & NLP	Sequence Understanding	Apache-2.0	450	2023-11-15	No	Yes	Yes	No	ModelScope;DAMO-ConvAI;SpokenNLP	NLP utility layer from ModelScope.
DAMO-ConvAI	https://github.com/AlibabaResearch/DAMO-ConvAI	AlibabaResearch	Alibaba DAMO conversational AI codebase.	Framework	Data Processing & NLP	Conversational AI	unknown	unknown	2026-??-??	No	Yes	Yes	No	AdaSeq;Qwen models;Agent apps	Important umbrella repo even though snippet did not expose current stars in our crawl.
SpokenNLP	https://github.com/alibaba-damo-academy/SpokenNLP	alibaba-damo-academy	Collection of research projects from Alibaba's SpokenNLP team.	Library	Data Processing & NLP	Speech-Language NLP	Apache-2.0	126	2026-03-11	No	Yes	Yes	No	Fun-ASR;SenseVoice;AdaSeq	Useful lower-visibility research bucket.
RynnBrain	https://github.com/alibaba-damo-academy/RynnBrain	alibaba-damo-academy	Open embodied foundation model project from Alibaba DAMO Academy.	Model	Robotics & Embodied AI	Embodied Foundation Model	Apache-2.0	731	2026-04-15	Needs GPU	No	Yes	No	RynnRCP;RynnVLA-001;RynnVLA-002;RynnMotion	Core embodied stack anchor.
RynnRCP	https://github.com/alibaba-damo-academy/RynnRCP	alibaba-damo-academy	Robotics context protocol for the Rynn ecosystem.	Framework	Robotics & Embodied AI	Robotics Protocol	Apache-2.0	128	2026-04-17	No	Yes	Yes	No	RynnBrain;RynnVLA-001;RynnVLA-002;RynnMotion	Hidden-gem infrastructure layer for embodied composition.
RynnVLA-001	https://github.com/alibaba-damo-academy/RynnVLA-001	alibaba-damo-academy	Vision-language-action model project using human demonstrations to improve robot manipulation.	Model	Robotics & Embodied AI	Vision-Language-Action	Apache-2.0	289	2026-01-23	Needs GPU	No	Yes	No	RynnBrain;RynnRCP;RynnVLA-002;RynnMotion	Early VLA line in the Rynn family.
RynnVLA-002	https://github.com/alibaba-damo-academy/RynnVLA-002	alibaba-damo-academy	Unified vision-language-action and world model project.	Model	Robotics & Embodied AI	Vision-Language-Action / World Model	Apache-2.0	989	2025-12-02	Needs GPU	No	Yes	No	RynnBrain;RynnRCP;RynnVLA-001;RynnMotion;RynnEC	Stronger next-step embodied platform piece.
RynnMotion	https://github.com/alibaba-damo-academy/RynnMotion	alibaba-damo-academy	Framework for robot prototyping motion primitives teleoperation data collection and deployment.	Framework	Robotics & Embodied AI	Motion / Teleoperation	Apache-2.0	26	2026-04-04	No	Yes	Yes	No	RynnBrain;RynnRCP;RynnVLA-001;RynnVLA-002	Very low-star but highly composable robotics utility.
DiffSynth-Studio	https://github.com/modelscope/DiffSynth-Studio	modelscope	Diffusion training and generation studio for image and video workflows.	Framework	Image & Video Generation	Diffusion Studio	Apache-2.0	12k	2026-04-16	Needs GPU	No	Yes	No	ModelScope;Qwen-Image;Lumos;Uni3C	One of the largest ModelScope visual-generation projects.
Lumos	https://github.com/alibaba-damo-academy/Lumos	alibaba-damo-academy	Frontier video unified model research project from Alibaba DAMO Academy.	Model	Image & Video Generation	Video Generation	Apache-2.0	157	2026-04-06	Needs GPU	No	Yes	No	Lumos-Custom;Uni3C;DiffSynth-Studio	Official repo description explicitly frames it as video-model research.
Lumos-Custom	https://github.com/alibaba-damo-academy/Lumos-Custom	alibaba-damo-academy	Research project for customized video generation within the Lumos family.	Model	Image & Video Generation	Customized Video Generation	unknown	193	2026-03-24	Needs GPU	No	Yes	No	Lumos;Uni3C;DiffSynth-Studio	Specialized companion project to Lumos.
Uni3C	https://github.com/alibaba-damo-academy/Uni3C	alibaba-damo-academy	Framework for precise 3D-enhanced camera and human motion controls in video generation.	Model	Image & Video Generation	Video Control / 3D Motion	Apache-2.0	541	2025-09-21	Needs GPU	No	Yes	No	Lumos;Lumos-Custom;DiffSynth-Studio	Strong Lego piece for controllable video generation.
