# artifact=PW7404-1122
# base_head=aa758aa4f63a91e072e2944c733310d9ab8ffdaa
# branch=main
# coalesced_status_entries=385
# expanded_status_files=538
status	path	original_path	type	index_mode	worktree_mode	mode_changed	material_diff	bytes	sha256	classification	source_candidate	runtime_package	secret_shape_labels	rationale
??	.codex/releases/PW7404-1025-spacebot-canonical-identity-release-20260710-r4.tar.gz		file		100644	false	n/a	35113	6e22fc5f3aae0e3bd7f91729afa9d034032e610f0c3b83729cffe3965fd40adc	SENSITIVE_QUARANTINE	no	no		Credential-shaped release bundle or private duplicate evidence requires quarantine
??	.codex/releases/PW7404-1026-spacebot-claim-world-r1-20260711.tar.gz		file		100644	false	n/a	10546	b7ff2eaac5aa169f643fac7d9a7f0c31d8f30b3130ee1c4b0f31cb8b72bf8d20	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	.codex/releases/PW7404-1026-spacebot-claim-world-r2-20260711.tar.gz		file		100644	false	n/a	10857	deb55b0180534f5b7246159ae6f071e87508bb89ae72311aefd9f5ca4ae4a039	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	.codex/releases/PW7404-1030-spacebot-autonomy-foundation-r1-20260711.tar.gz		file		100644	false	n/a	24929	4d3fe183b1a8b8c8a0dd7f031a41934f555197cf319740f0b011a3b2afbc18af	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	.codex/releases/PW7404-1030-spacebot-autonomy-foundation-r2-20260711.tar.gz		file		100644	false	n/a	25979	9434fcbd3c9758d52de1875c1e60e36bc98aa961906d8be77e6f41b499cdcf35	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
 M	.env.example		file	100644	100644	false	true	2491	439d04a82d00fb63b16280739c08ba96f7550479b375a6c76f303372e6ee20f8	SENSITIVE_REVIEW	review	no		Tracked authority, identity, public-truth, money, auth, or runtime contract requires review
 M	.gitignore		file	100644	100644	false	true	1927	319e2dc8107f3710d70c6497b1cc0c9c24f99c999393c793618eb7de4d9ad3c2	REVIEW_MIXED	review	review		Tracked mixed or metadata-sensitive change requires subsystem adjudication
??	{var		file		100644	false	n/a	92	9508e7435e90729f620108a9415a6a704bd9504248b447f8864b37c739fa93ab	MALFORMED	no	no		Malformed root scratch filename
??	0).length		file		100644	false	n/a	95	93c6f7fa62ff960fc3d71709022cc337ccb381f30721c3b7f28c38839f051b48	MALFORMED	no	no		Malformed root scratch filename
??	0){window.__tlog.push({t		file		100644	false	n/a	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	MALFORMED	no	no		Malformed root scratch filename
??	0}).length		file		100644	false	n/a	95	93c6f7fa62ff960fc3d71709022cc337ccb381f30721c3b7f28c38839f051b48	MALFORMED	no	no		Malformed root scratch filename
??	082_8_orange_default_verified.png		file		100644	false	n/a	76431	7123d5cad89a1313bd25aa76f771c0470ca4b4cd87a8a4a5a983c3d76dce1522	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	082_9_ticker_10s_20s.png		file		100644	false	n/a	73507	259a137c1388f274380a69ea0d14b2bf17a2aaa264a7f108279f258586659452	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	083_0_ticker_25s_35s.png		file		100644	false	n/a	77963	5c0ed7f02a14a5f43c1ae145eef8a9100d371e31417621e75b8dc3846cf9b121	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	083_1_ticker_40s_50s.png		file		100644	false	n/a	73475	c8ce7f53c47b9c4cb422b57ff277858f1e904a5fd4fcf12a29abeec7e039b1b7	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	083_3_desktop.png		file		100644	false	n/a	74441	b32d1a101cd0dc69f2f03645ffa1f98b6cf0389c48e28dfb96968c3a88e77619	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	AGENTS.md		file		100644	false	n/a	2994	dd84b9a9e9e32df6358f63ff7b9342e50451e76724b5c0b68c0a8a4a0fa6d67f	KEEP_CANDIDATE	yes	review		Untracked implementation/proof/config candidate requires review before inclusion
??	c.charCodeAt(0).toString(16)).join('_')		file		100644	false	n/a	95	93c6f7fa62ff960fc3d71709022cc337ccb381f30721c3b7f28c38839f051b48	MALFORMED	no	no		Malformed root scratch filename
??	config/PW7404-1026-spacebot-production-nginx-20260711.conf		file		100644	false	n/a	3608	7515024d4fdee22a4cb1024df24811003875370bc61c08fca06abbb1dc467659	ARCHIVE_EVIDENCE	yes	no		Historical release path, checksum, config, or baseline evidence
??	config/PW7404-1027-spacebot-runtime-supervisor-v0-20260711.json		file		100644	false	n/a	20676	da42c3ba38973d463976e3d8e6957245e53533f84fe9f7fbd41961816424cac0	ARCHIVE_EVIDENCE	yes	no		Historical release path, checksum, config, or baseline evidence
??	config/PW7404-1071-spacebot-production-nginx-20260712.conf		file		100644	false	n/a	3278	4f56e4a86c30c1cc3d4da0e6ebfcf81ff173303ab6fde6db19643b1a2ca15e76	ARCHIVE_EVIDENCE	yes	no		Historical release path, checksum, config, or baseline evidence
??	config/PW7404-1086-spacebot-lucy-autonomy.service		file		100644	false	n/a	664	f677eb16eeba0df681dc50873f51f51537b4460f64d823696e609108accf4975	SENSITIVE_REVIEW	review	no		Migration, live verifier, controller, service, launcher, or runtime tool requires ordered security proof
??	config/PW7404-1086-spacebot-lucy-autonomy.timer		file		100644	false	n/a	229	ee29ef27b203ae0f8100797b498757775c14f6ab7b3cb57ddfa83e4c92c332b9	SENSITIVE_REVIEW	review	no		Migration, live verifier, controller, service, launcher, or runtime tool requires ordered security proof
??	config/PW7404-1086-spacebot-production-nginx-20260712.conf		file		100644	false	n/a	4237	291a17371b88ceb02229dd1a31dddad1d9b088f1a8832cae59e5bfca7eb1532f	SENSITIVE_REVIEW	review	no		Migration, live verifier, controller, service, launcher, or runtime tool requires ordered security proof
??	config/PW7404-1101-spacebot-resident-autonomy-controller.service		file		100644	false	n/a	821	02b8253869c6e4bb1b1d355243fe253a86b208b11c468cd8f144084d0a7668cf	SENSITIVE_REVIEW	review	no		Migration, live verifier, controller, service, launcher, or runtime tool requires ordered security proof
??	config/PW7404-1117-spacebot-resident-identity-controller.service		file		100644	false	n/a	973	606ec1aa4739a39e89816666a4555ed8905234e102e48160d602fbfeb469ea00	SENSITIVE_REVIEW	review	no		Migration, live verifier, controller, service, launcher, or runtime tool requires ordered security proof
??	config/PW7404-1125-resident-identity-controller.env.example		file		100644	false	n/a	821	c5540d46fdd3732ac6d5c3195b39f3ae8dae50cfdb5ab124be8453eb61d3efa4	SENSITIVE_REVIEW	review	no		Migration, live verifier, controller, service, launcher, or runtime tool requires ordered security proof
??	config/PW7404-1125-resident-identity-ipc-deployment.md		file		100644	false	n/a	3491	8252151618cc95639f97368cb217d916ecd7a8866d2094bbf0df5ac779af69fa	SENSITIVE_REVIEW	review	no		Migration, live verifier, controller, service, launcher, or runtime tool requires ordered security proof
??	config/PW7404-1125-resident-identity-provisioner.env.example		file		100644	false	n/a	831	40120b43300bc4bf5486caea644278cb17a4d590058910396b1d2c41a4c637cf	SENSITIVE_REVIEW	review	no		Migration, live verifier, controller, service, launcher, or runtime tool requires ordered security proof
??	deepresearch-service/__pycache__/main.cpython-314.pyc		file		100644	false	n/a	14689	cb5554f89aab175e2703f4be99709afd393e7a4b75aae1dad1cee8d8bd58dea2	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/main.py		file		100644	false	n/a	8282	e99071606e24494c0e96d7475e826108671b0a85bb716ee007cdc21c20c95776	SENSITIVE_REVIEW	review	no		Migration, live verifier, controller, service, launcher, or runtime tool requires ordered security proof
??	deepresearch-service/repo/inference/__pycache__/prompt.cpython-314.pyc		file		100644	false	n/a	2933	38b364b9e7e91aefcdf92272ee24bf385ea4d88b824f367c51a19d504181a4cb	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/repo/inference/__pycache__/react_agent.cpython-314.pyc		file		100644	false	n/a	14113	bf50c132c5098c649b62a1db9bfe6353f86045be7334a6d6251dcf0bcbe27809	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/repo/inference/__pycache__/tool_file.cpython-314.pyc		file		100644	false	n/a	7281	22fc32aa8bd8eceaf5ad48992aec572df68502a969873bb3c120ef1956132fd3	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/repo/inference/__pycache__/tool_python.cpython-314.pyc		file		100644	false	n/a	10339	44466efb7a0c9c9abb0060fa4892a2390f58133c6807a37f922bc19b92c67143	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/repo/inference/__pycache__/tool_scholar.cpython-314.pyc		file		100644	false	n/a	5538	f05ba677c423b592738dcba1ec369de6bad739a97120843abe4b858904656989	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/repo/inference/__pycache__/tool_search.cpython-314.pyc		file		100644	false	n/a	6994	9c32b80a44ff3f709db70b7fbab3e0f681e1525760fad2eec7914e735e12745b	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/repo/inference/__pycache__/tool_visit.cpython-314.pyc		file		100644	false	n/a	12551	311c7a25e85843f99af50e04c8787292d063ba04190cd6802bf99b1a4f8c6fde	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/repo/inference/file_tools/__pycache__/file_parser.cpython-314.pyc		file		100644	false	n/a	37631	df495e7aca8a35305f91e3a2a987057b3da160acb811facb535f5a5eb07a9058	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/repo/inference/file_tools/file_parser.py		file		100644	false	n/a	20906	f87800135c51822362ef1db6462e2d5435f28df3446e3ac734b414b39a4c076a	MALFORMED	no	no		DeepResearch startup/import chain is incomplete or references undeclared modules
??	deepresearch-service/repo/inference/prompt.py		file		100644	false	n/a	2784	c692e86fce0210b5906d1c47d7e45222b751579d442e1b52d28f013f49930304	KEEP_CANDIDATE	yes	review		Static verifier, generator, lock, package metadata, or bounded support source
??	deepresearch-service/repo/inference/react_agent.py		file		100644	false	n/a	10656	b88b1026edeef02bf3071fe4a34778aedd8af662b8214705a6f27a5060bd285b	SENSITIVE_REVIEW	review	no		Migration, live verifier, controller, service, launcher, or runtime tool requires ordered security proof
??	deepresearch-service/repo/inference/tool_file.py		file		100644	false	n/a	5129	3df26360a1ee83b718865d8262261e9c8f3d02ed7d304b32067d58316df7e22e	AUTHORITY_HOLD	no	no		Unused legacy DeepResearch wrapper duplicates active tools and references missing dependencies
??	deepresearch-service/repo/inference/tool_python.py		file		100644	false	n/a	6840	eda289fbf17c4d9759869b6b2e45521a737534287ae776f73ef635cf4be60999	AUTHORITY_HOLD	no	no		Unused legacy DeepResearch wrapper duplicates active tools and references missing dependencies
??	deepresearch-service/repo/inference/tool_scholar.py		file		100644	false	n/a	4188	429716a1376c3884544e8e53f77e91012aab53aad66ee501d587d60150001eec	AUTHORITY_HOLD	no	no		Unused legacy DeepResearch wrapper duplicates active tools and references missing dependencies
??	deepresearch-service/repo/inference/tool_search.py		file		100644	false	n/a	4376	b2cf78dd5d6766bcfa39971e4ed220efccdc6e16f1b3d43769a3ac74df1614f7	AUTHORITY_HOLD	no	no		Unused legacy DeepResearch wrapper duplicates active tools and references missing dependencies
??	deepresearch-service/repo/inference/tool_visit.py		file		100644	false	n/a	11193	9fea1ce1735d33a98320c021e457e664c7352a5a91185fafcf07957bfca5e6ab	AUTHORITY_HOLD	no	no		Unused legacy DeepResearch wrapper duplicates active tools and references missing dependencies
??	deepresearch-service/requirements.txt		file		100644	false	n/a	336	4a9d648d6d0842773c0e1707d8bfc137a2e555784e092f4a3b4f9397ab77fe45	MALFORMED	no	no		DeepResearch startup/import chain is incomplete or references undeclared modules
??	deepresearch-service/tests/PW7404-1135-test-tool-boundaries.py		file		100644	false	n/a	4040	2336853226adecace54659f1cc7c7a501a790db5797458aa7a2369112aaa576a	SENSITIVE_REVIEW	review	no		Migration, live verifier, controller, service, launcher, or runtime tool requires ordered security proof
??	deepresearch-service/tools/__init__.py		file		100644	false	n/a	63	f0d57a5cfdbab81996e209b87bde67e719ece216eb6b7b1702f150d7b8a90d7e	KEEP_CANDIDATE	yes	review		Static verifier, generator, lock, package metadata, or bounded support source
??	deepresearch-service/tools/__pycache__/__init__.cpython-314.pyc		file		100644	false	n/a	257	7fb3c701def2bc12ca6800f9eb894e96921196e81988f5026e9b8a9cdacb5b48	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/tools/__pycache__/common.cpython-314.pyc		file		100644	false	n/a	9255	2bbbdbe926415b1a835754ac0527b0fe9e1eeba130ea472fe54b4e068eb35ae7	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/tools/__pycache__/dashscope_file_parser.cpython-314.pyc		file		100644	false	n/a	2845	52b32e17e4f2daf89ff3e9c9f1be8684775da484d703aab87b0c2370cc5c7e41	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/tools/__pycache__/dashscope_scholar.cpython-314.pyc		file		100644	false	n/a	2597	a5ec254301669ae0ba58996ae5e7ff28a056c366fffda84a1316e97914545c35	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/tools/__pycache__/dashscope_search.cpython-314.pyc		file		100644	false	n/a	2472	22e5db9b2c34b705e1066e32ea33180c73241bb528b2901c6ed19bab5cb4b2a4	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/tools/__pycache__/dashscope_visit.cpython-314.pyc		file		100644	false	n/a	6916	9f8517fa811cd9cd69e1b2a2653ce9632d03911bfd5fdad7833f3663757ed514	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/tools/__pycache__/security_boundaries.cpython-314.pyc		file		100644	false	n/a	6301	bc5d8481dacb213d7465b1e02c16ac7d11b1e35c2563fbec133297d238010529	GENERATED_EXCLUDE	no	no		Generated, screenshot, cache, or temporary artifact
??	deepresearch-service/tools/common.py		file		100644	false	n/a	3813	bc2d7a965cbe30176454617584569d56dbed5057ff6351399d86d4693582b274	KEEP_CANDIDATE	yes	review		Static verifier, generator, lock, package metadata, or bounded support source
??	deepresearch-service/tools/dashscope_file_parser.py		file		100644	false	n/a	1641	9615c48496ef8b6639d02538dfa0d9b1fecb3a265b4d8333d9b607914e348737	MALFORMED	no	no		DeepResearch startup/import chain is incomplete or references undeclared modules
??	deepresearch-service/tools/dashscope_scholar.py		file		100644	false	n/a	2328	3eb95bb5ec45ccf849a21f6c8a5d9cdacf60b3ad0527b14b510c2d214dc8d8b8	KEEP_CANDIDATE	yes	review		Static verifier, generator, lock, package metadata, or bounded support source
??	deepresearch-service/tools/dashscope_search.py		file		100644	false	n/a	2188	2cd9e41d7008ed0e608a45e990e646c320380a6bc996fbd6d03a4cacf53e2d41	KEEP_CANDIDATE	yes	review		Static verifier, generator, lock, package metadata, or bounded support source
??	deepresearch-service/tools/dashscope_visit.py		file		100644	false	n/a	5591	5bd34308e89c6f2f843ac92b0c52926dd9e0fae8d4ac13dde2eed22f219f7ab2	SENSITIVE_REVIEW	review	no		Migration, live verifier, controller, service, launcher, or runtime tool requires ordered security proof
??	deepresearch-service/tools/security_boundaries.py		file		100644	false	n/a	3671	256f8ac63250036e1ad436bb7a3c8e45bd63bb5d325fffefe3285daaa6cda81a	SENSITIVE_REVIEW	review	no		Migration, live verifier, controller, service, launcher, or runtime tool requires ordered security proof
??	docs/agentevolver_scope_spud.md		file		100644	false	n/a	24612	3c304b36f12f23608211c1a1d6a34a09791aa4f9efb3f732af75d4a8093aa975	SENSITIVE_REVIEW	review	no		Operational or security evidence requires redaction and source-placement review
??	docs/pw-0704-2026070401-openai-codex-rollout.md		file		100644	false	n/a	3298	5f5e8aa43a38787561cbcb0651496116e3ca199e18cbd03393191ce3f6b86f3a	KEEP_CANDIDATE	yes	no		Current canonical mission, board, checkpoint, or workflow authority
??	docs/pw7404-1018-spacebot-space-compact-handoff-baseline-2026-07-06.md		file		100644	false	n/a	3811	685807698dcdfe2d5ac53c045aed0248410572680c6c9d52cf13418ba5c252dc	SENSITIVE_REVIEW	review	no		Operational or security evidence requires redaction and source-placement review
??	docs/PW7404-1019-SPACEBOT-SPACE-FRONT-BOARD-20260709.md		file		100644	false	n/a	15555	99e6660e64f05bc21d602a127306ce9e215d4314b196eb4c3c904e47eb50a0ca	SENSITIVE_REVIEW	review	no		Operational or security evidence requires redaction and source-placement review
??	docs/PW7404-1020-SPACEBOT-RELEASE-INTEGRITY-MANIFEST-20260709.md		file		100644	false	n/a	2672	515588674f114d3e7871c71a078f230f7aaf48ddb94dc67ad716b9792d608f12	ARCHIVE_EVIDENCE	yes	no		Durable governance, audit, research, or release evidence
??	docs/PW7404-1023-SPACEBOT-CLERK-CLAIM-RESIDENCY-RELEASE-20260710.md		file		100644	false	n/a	4801	89517095d9e5e8fd085b6a479c67731cbc06ea6b4e1324cd3bae9c24cdd404bf	ARCHIVE_EVIDENCE	yes	no		Durable governance, audit, research, or release evidence
??	docs/PW7404-1025-SPACEBOT-CANONICAL-AGENT-IDENTITY-RELEASE-20260710.md		file		100644	false	n/a	6283	8fc3aa5ee1632e0b28cac338a8097f908773c84262e4664b5b4218e773531aae	ARCHIVE_EVIDENCE	yes	no		Durable governance, audit, research, or release evidence
??	docs/PW7404-1030-SPACEBOT-AUTONOMY-FOUNDATION-20260711.md		file		100644	false	n/a	6334	1590577d179a314fcac682d8de5e04898f914cfe2d3284f5d27204a3ef2ad214	ARCHIVE_EVIDENCE	yes	no		Durable governance, audit, research, or release evidence
??	docs/PW7404-1036-SPACEBOT-CANONICAL-LUCY-COORDINATOR-RELEASE-20260711.md		file		100644	false	n/a	5962	d03badae87aa22bbca243a16c51a8e3eccb1ca3c845cd91f46e3edefd783277c	ARCHIVE_EVIDENCE	yes	no		Durable governance, audit, research, or release evidence
??	docs/PW7404-1039-SPACEBOT-CHAT-CONTENTION-HARDENING-RELEASE-20260711.md		file		100644	false	n/a	5653	eeb9ec97f11cf81849342f25338cf382d497714df1178341b037f239c2b89f6f	ARCHIVE_EVIDENCE	yes	no		Durable governance, audit, research, or release evidence
??	docs/PW7404-1040-SPACEBOT-CANONICAL-AGENT-MESSAGING-RELEASE-20260711.md		file		100644	false	n/a	6268	72fcd50f731a03c1a4416a7db2900640d0330eb4a1024f16a14bf603a563fff5	ARCHIVE_EVIDENCE	yes	no		Durable governance, audit, research, or release evidence
??	docs/PW7404-1044-SPACEBOT-CANONICAL-AGENT-RELATIONSHIPS-RELEASE-20260711.md		file		100644	false	n/a	6688	c848beed09d054addae5134c60ecefc59447f08857eaee56496b19d1485e602e	ARCHIVE_EVIDENCE	yes	no		Durable governance, audit, research, or release evidence
??	docs/PW7404-1047-SPACEBOT-CREDENTIAL-FIRST-RESIDENCY-RELEASE-20260711.md		file		100644	false	n/a	4170	5ab42c7374f032f779150f813a377f39d8959943c9e472dac2a28651f1442cae	ARCHIVE_EVIDENCE	yes	no		Durable governance, audit, research, or release evidence
??	docs/PW7404-1051-SPACEBOT-RESIDENT-TASKS-WALL-RELEASE-20260712.md		file		100644	false	n/a	5826	dd3fa9e9f2dd7c63facb6039fcd8bd1b03a33369960cc67fd325ef96152b51b3	ARCHIVE_EVIDENCE	yes	no		Durable governance, audit, research, or release evidence
??	docs/PW7404-1056-SPACEBOT-SHARED-RATE-LIMITER-RELEASE-20260712.md		file		100644	false	n/a	5554	25d77e9fc3d41f6e6e479d15193996e1fe2dbf8851af81416415cdff98294ad7	ARCHIVE_EVIDENCE	yes	no		Durable governance, audit, research, or release evidence
??	docs/PW7404-1058-SPACEBOT-CANONICAL-LAB-RESIDENTS-RELEASE-20260712.md		file		100644	false	n/a	4058	4931c1a0afc2fbfaaa1f19c0670db1377d5c5e7faf21f5e1a733943febcc59d4	ARCHIVE_EVIDENCE	yes	no		Durable governance, audit, research, or release evidence
??	docs/PW7404-1067-SPACEBOT-SPACE-CANONICAL-BIBLE-20260712.md		file		100644	false	n/a	21452	b3d88eab19082eb8744c01a6b31483541c3c8f269619a7c641e3e27a163faadd	KEEP_CANDIDATE	yes	no		Current canonical mission, board, checkpoint, or workflow authority
??	docs/PW7404-1068-SPACEBOT-SPACE-FULL-AUDIT-20260712.md		file		100644	false	n/a	27131	3b9d0615ccc1a8bf55e0280e19829213a95b8ef91e7c65b83c664f1cdab1bf2b	SENSITIVE_REVIEW	review	no		Operational or security evidence requires redaction and source-placement review
??	docs/PW7404-1069-SPACEBOT-SPACE-MASTER-PUNCH-LIST-20260712.md		file		100644	false	n/a	26410	6df4e273e4af653a4067ff90aa949b8e8aad00bcac34bf3dd9fb27a3b2ce2ea7	SENSITIVE_REVIEW	review	no		Operational or security evidence requires redaction and source-placement review
??	docs/PW7404-1073-SPACEBOT-TRUST-CONTAINMENT-RELEASE-20260712.md		file		100644	false	n/a	6090	e3fbe060d911829c1f543790b75f76cbf5c5c1b4794a950973d70e4ea327427a	SENSITIVE_REVIEW	review	no		Operational or security evidence requires redaction and source-placement review
